Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Marcedes Lewis (CHI),1.0,1.0,100.0%,1.0,1.0,1.0,14.3%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
C.J. Uzomah (PHI),1.0,2.0,50.0%,1.0,1.0,1.0,25.0%,0.0,0.0,0.0,0%,0.0,12.0,TE
Ben Sims (GB),1.0,1.0,100.0%,1.0,1.0,1.0,20.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Luke Schoonmaker (DAL),2.0,3.0,66.7%,1.0,0.5,1.0,17.6%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Mike Gesicki (CIN),1.0,2.0,50.0%,1.0,1.0,1.0,33.3%,0.0,0.0,0.0,0%,0.0,17.0,TE
Irv Smith Jr. (KC),3.0,4.0,75.0%,14.0,4.7,1.0,80.0%,0.0,0.0,0.0,0%,1.0,12.0,TE
Tyler Conklin (NYJ),3.0,6.0,50.0%,11.0,3.7,0.0,75.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Durham Smythe (MIA),1.0,3.0,33.3%,7.0,7.0,0.0,75.0%,0.0,0.0,0.0,0%,0.0,16.0,TE
Dalton Kincaid (BUF),2.0,4.0,50.0%,7.0,3.5,0.0,57.1%,0.0,0.0,0.0,0%,0.0,16.0,TE
Kevin Rader (FA),1.0,1.0,100.0%,6.0,6.0,0.0,16.7%,0.0,0.0,0.0,0%,0.0,14.0,TE
Cole Turner (WAS),1.0,3.0,33.3%,5.0,5.0,0.0,25.0%,0.0,0.0,0.0,0%,0.0,12.0,TE
Brock Wright (DET),1.0,1.0,100.0%,2.0,2.0,0.0,10.0%,0.0,0.0,0.0,0%,0.0,14.0,TE
Connor Heyward (PIT),1.0,1.0,100.0%,0.0,0.0,0.0,25.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Stone Smartt (LAC),0.0,2.0,0.0%,0.0,0.0,0.0,12.5%,0.0,0.0,0.0,0%,0.0,16.0,TE
Luke Musgrave (GB),0.0,1.0,0.0%,0.0,0.0,0.0,20.0%,0.0,0.0,0.0,0%,0.0,11.0,TE
Luke Farrell (JAC),0.0,1.0,0.0%,0.0,0.0,0.0,12.5%,0.0,0.0,0.0,0%,0.0,17.0,TE
Daniel Bellinger (NYG),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Chigoziem Okonkwo (TEN),0.0,3.0,0.0%,0.0,0.0,0.0,50.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
James Mitchell (DET),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0%,0.0,14.0,TE
Peyton Hendershot (DAL),0.0,1.0,0.0%,0.0,0.0,0.0,5.9%,1.0,0.0,0.0,100.0%,0.0,8.0,TE
Darnell Washington (PIT),0.0,1.0,0.0%,0.0,0.0,0.0,25.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
John Bates (WAS),1.0,3.0,33.3%,0.0,0.0,0.0,25.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Sean McKeon (DET),0.0,1.0,0.0%,0.0,0.0,0.0,5.9%,0.0,0.0,0.0,0.0%,0.0,9.0,TE
Mitchell Wilcox (NE),0.0,1.0,0.0%,0.0,0.0,0.0,20.0%,0.0,0.0,0.0,0%,0.0,17.0,TE
Ian Thomas (CAR),0.0,1.0,0.0%,0.0,0.0,0.0,14.3%,0.0,0.0,0.0,0%,0.0,12.0,TE
Darren Waller (FA),0.0,1.0,0.0%,0.0,0.0,0.0,50.0%,0.0,0.0,0.0,0%,0.0,12.0,TE
MyCole Pruitt (PIT),0.0,2.0,0.0%,0.0,0.0,0.0,20.0%,0.0,0.0,0.0,0.0%,0.0,17.0,TE
Julian Hill (MIA),0.0,1.0,0.0%,0.0,0.0,0.0,25.0%,0.0,0.0,0.0,0%,0.0,15.0,TE
,,,,,,,,,,,,,,TE
,,,,,,,,,,,,,,TE
