Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS.1,TD.1,FL,G,POS
Quinton Bell (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyron Billy-Johnson (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jeff Smith (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kirk Merritt (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Kristian Wilkerson (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Jaylon Moore (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Scotty Washington (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Amari Rodgers (FA),0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Anthony Schwartz (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Seth Williams (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dez Fitzpatrick (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dan Chisena (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Andre Baccellia (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,WR
Nikko Remigio (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Daewood Davis (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyrell Shavers (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sean Ryan (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Zavier Scott (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ryan Miller (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Duece Watts (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Daniel Arias (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Isaiah Winstead (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Shedrick Jackson (CIN),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Keon Coleman (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Malachi Corley (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Devontez Walker (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
John Stephens Jr. (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tre'Shaun Harrison (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dylan Drummond (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Bryan Thompson (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
David Durden (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Lucky Jackson (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Brycen Tremayne (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Maurice Alexander (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Daylen Baldwin (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Josh Ali (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jacob Cowing (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Johnny Wilson (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jalen Wayne (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Bryce Ford-Wheaton (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaray Jenkins (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jalen Cropper (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Xavier Smith (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Grant DuBose (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jared Wayne (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Thayer Thomas (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Malik Knowles (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cephus Johnson III (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR
Shaquan Davis (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Terrell Bynum (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Kazmeir Allen (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Matt Landers (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Malik Nabers (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Rome Odunze (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
OJ Hiliare (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sam Schnee (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Bryce Oliver (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Isaiah Washington (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Lawrence Keys III (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sam Pinckney (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kameron Johnson (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tyler Harrell (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Isaiah Wooden (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dee Williams (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cam Johnson (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ayir Asante (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Corey Crooms Jr. (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
JaQuae Jackson (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sam Wiglusz (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Devin Carter (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ahmarean Brown (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Xavier White (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tre Mosley (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jeshaun Jones (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Leon Johnson III (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Terique Owens (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jeff Foreman (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaelen Gill (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaylen Johnson (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jermaine Jackson (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kyle Sheets (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Mason Tipton (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Julian Hicks (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Zach Mathis (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jalon Calhoun (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Peter LeBlanc (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Latreal Jones (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Praise Olatoke (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
John Jiles (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tanner Knue (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
John Jackson III (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Hamze El-Zayat (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
David Wallis (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Derek Slywka (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
JJ Laap (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaaron Hayek (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brevin Easton (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cole Burgess (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Joseph Scates (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
David White Jr. (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Marcus Riley (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dimitri Stanley (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Phillip Brooks (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Qadir Ismail (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Xavier Johnson (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Drake Stoops (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Chase Cota (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Ladd McConkey (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Xavier Legette (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Roman Wilson (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jamari Thrash (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ja'Lynn Polk (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Je'Quan Burton (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Hayden Hatten (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jadon Janke (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jalen Coker (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Anthony Gould (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Lideatrick Griffin (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dayton Wade (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Devaughn Vele (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tejhaun Palmer (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Casey Washington (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ty James (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ryan Flournoy (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brenden Rice (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ricky Pearsall (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Malik Washington (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tahj Washington (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Luke McCaffrey (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Marcus Rosemy-Jacksaint (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Bub Means (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Joshua Cephus (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jha'Quan Jackson (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Isaiah Williams (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jordan Whittington (LAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ainias Smith (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jalen McMillan (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ramel Keyton (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Marvin Harrison Jr. (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Troy Franklin (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
DJ Turner (LV),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR
Michael Bandy (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Jacob Harris (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Racey McMath (DAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jalen Camp (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kawaan Baker (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cornell Powell (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Javon Baker (NE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Dax Milne (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Austin Watkins Jr. (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jaelon Darden (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Chris Blair (ATL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Cornelius Johnson (LAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Xavier Worthy (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kevin Austin Jr. (NO),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Brian Thomas Jr. (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jermaine Burton (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jacob Copeland (PIT),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kearis Jackson (TEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Malik Cunningham (BAL),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Montrell Washington (KC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR
Dareke Young (SEA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR
Kyric McGowan (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Devon Allen (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Dennis Houston (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ethan Fernea (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Kendric Pryor (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Irvin Charles (NYJ),0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,WR
Raleigh Webb (TB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Lance McCutcheon (NYJ),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kaden Davis (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tay Martin (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Justin Shorter (BUF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Xavier Weaver (ARI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Danny Gray (SF),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Joseph Ngata (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Michael Woods II (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Adonai Mitchell (IND),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Mitchell Tinsley (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Jalen Virgil (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Braylon Sanders (MIA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Johnny Johnson III (HOU),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Patrick Edwards (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Jordan Matthews (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Kenny McKinley (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Maurice Purify (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Mike Furrey (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Matthew Slater (FA),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR
Marko Mitchell (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Nate Hughes (JAC),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Chris Henry (CIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Bobby Wade (WAS),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Demario Ballard (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Sam Giguere (NYG),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Rod Harper (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Justin Hardee Sr. (CLE),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR
John Ross (PHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tim Patrick (DEN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Cam Sims (CAR),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
N'Keal Harry (MIN),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,WR
Dante Pettis (CHI),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Tre'Quan Smith (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Daurice Fountain (DET),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
Ty Montgomery II (FA),5.0,12.0,40,8.0,17.0,0.0,0.0,3.0,9.0,0.0,0.0,13.0,WR
Phillip Dorsett II (DEN),0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR
Damiere Byrd (WAS),0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,WR
Rory Starkey Jr. (GB),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
James Proche II (CLE),0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,WR
Trent Taylor (SF),0.0,2.0,0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,16.0,WR
,,,,,,,,,,,,,WR
,,,,,,,,,,,,,WR
Sam LaPorta (DET),86.0,120.0,889,10.3,48.0,8.0,10.0,1.0,4.0,0.0,0.0,17.0,TE
George Kittle (SF),65.0,90.0,"1,020",15.7,66.0,18.0,6.0,1.0,2.0,0.0,0.0,16.0,TE
Travis Kelce (KC),93.0,121.0,984,10.6,53.0,12.0,5.0,0.0,0.0,0.0,1.0,15.0,TE
T.J. Hockenson (MIN),95.0,127.0,960,10.1,29.0,13.0,5.0,0.0,0.0,0.0,1.0,15.0,TE
David Njoku (CLE),81.0,123.0,882,10.9,43.0,12.0,6.0,0.0,0.0,0.0,2.0,16.0,TE
Evan Engram (JAC),114.0,143.0,963,8.4,34.0,9.0,4.0,0.0,0.0,0.0,2.0,17.0,TE
Taysom Hill (NO),33.0,40.0,291,8.8,36.0,2.0,2.0,81.0,401.0,4.0,1.0,16.0,TE
Cole Kmet (CHI),73.0,90.0,719,9.8,53.0,9.0,6.0,3.0,2.0,0.0,0.0,17.0,TE
Jake Ferguson (DAL),71.0,102.0,761,10.7,40.0,8.0,5.0,0.0,0.0,0.0,0.0,17.0,TE
Trey McBride (ARI),81.0,106.0,825,10.2,38.0,9.0,3.0,0.0,0.0,0.0,0.0,17.0,TE
Dalton Schultz (HOU),59.0,88.0,635,10.8,31.0,7.0,5.0,0.0,0.0,0.0,1.0,15.0,TE
Mark Andrews (BAL),45.0,61.0,544,12.1,38.0,8.0,6.0,1.0,0.0,0.0,0.0,10.0,TE
Kyle Pitts (ATL),53.0,90.0,667,12.6,39.0,7.0,3.0,1.0,-4.0,0.0,0.0,17.0,TE
Hunter Henry (NE),42.0,61.0,419,10.0,24.0,2.0,6.0,0.0,0.0,0.0,0.0,14.0,TE
Dalton Kincaid (BUF),73.0,91.0,673,9.2,51.0,5.0,2.0,0.0,0.0,0.0,1.0,16.0,TE
Dallas Goedert (PHI),59.0,83.0,592,10.0,49.0,6.0,3.0,1.0,1.0,0.0,0.0,14.0,TE
Jonnu Smith (MIA),50.0,70.0,582,11.6,60.0,4.0,3.0,1.0,0.0,0.0,1.0,17.0,TE
