Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Drake London (ATL),8.0,14.0,57.1%,50.0,6.3,2.0,73.7%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
KaVontae Turpin (DAL),5.0,6.0,83.3%,31.0,6.2,1.0,12.0%,2.0,13.0,1.0,28.6%,0.0,16.0,WR
Jaxon Smith-Njigba (SEA),4.0,10.0,40.0%,37.0,9.3,2.0,20.4%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Jaylen Waddle (MIA),4.0,9.0,44.4%,36.0,9.0,2.0,20.0%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Brandon Johnson (DEN),4.0,6.0,66.7%,34.0,8.5,2.0,15.4%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Parker Washington (JAC),3.0,3.0,100.0%,34.0,11.3,2.0,6.5%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
K.J. Osborn (NE),4.0,11.0,36.4%,34.0,8.5,2.0,23.4%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Jahan Dotson (WAS),5.0,11.0,45.5%,32.0,6.4,2.0,28.2%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Zay Jones (ARI),4.0,9.0,44.4%,30.0,7.5,2.0,19.6%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Tyler Boyd (TEN),5.0,9.0,55.6%,29.0,5.8,2.0,17.3%,0.0,0.0,0.0,0%,0.0,17.0,WR
Julio Jones (FA),3.0,4.0,75.0%,26.0,8.7,2.0,12.5%,0.0,0.0,0.0,0%,0.0,11.0,WR
Elijah Moore (CLE),8.0,14.0,57.1%,44.0,5.5,2.0,37.8%,1.0,-20.0,0.0,50.0%,0.0,17.0,WR
Ronnie Bell (SF),2.0,2.0,100.0%,21.0,10.5,2.0,6.1%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Nick Westbrook-Ikhine (TEN),3.0,6.0,50.0%,20.0,6.7,2.0,23.1%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Quentin Johnston (LAC),4.0,8.0,50.0%,17.0,4.3,2.0,20.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Lil'Jordan Humphrey (DEN),4.0,4.0,100.0%,17.0,4.3,2.0,10.3%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Scotty Miller (PIT),3.0,3.0,100.0%,14.0,4.7,2.0,15.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Cedrick Wilson Jr. (NO),2.0,5.0,40.0%,9.0,4.5,2.0,11.1%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
