Player,G,REC,YDS,Y/R,YBC,YBC/R,AIR,AIR/R,YAC,YAC/R,YACON,YACON/R,BRKTKL,TGT,% TM,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS,LNG,POS
Cedric Tillman (CLE),14.0,21.0,224,10.7,136,6.5,468,22.3,88.0,4.2,32.0,1.5,2.0,44.0,7.4%,22.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,23.0,WR
KhaDarel Hodge (ATL),17.0,14.0,232,16.6,150,10.7,331,23.6,82.0,5.9,50.0,3.6,1.0,23.0,4.5%,14.0,0.0,0.0,10.0,3.0,2.0,1.0,1.0,52.0,WR
Parker Washington (JAC),9.0,16.0,132,8.3,98,6.1,155,9.7,34.0,2.1,14.0,0.9,1.0,21.0,3.5%,17.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,19.0,WR
Dyami Brown (WAS),17.0,12.0,168,14.0,92,7.7,387,32.3,76.0,6.3,11.0,0.9,1.0,23.0,3.8%,14.0,2.0,2.0,6.0,2.0,2.0,0.0,0.0,35.0,WR
Jalen Reagor (NE),11.0,7.0,138,19.7,120,17.1,370,52.9,18.0,2.6,6.0,0.9,0.0,23.0,4.3%,9.0,2.0,1.0,6.0,3.0,2.0,0.0,0.0,39.0,WR
Van Jefferson (PIT),17.0,20.0,209,10.3,184,9.2,686,34.3,22.0,1.1,18.0,0.9,1.0,43.0,7.7%,24.0,3.0,1.0,8.0,1.0,1.0,1.0,0.0,46.0,WR
Derius Davis (LAC),17.0,15.0,66,4.4,-49,-3.3,-38,-2.5,115.0,7.7,8.0,0.5,0.0,17.0,2.8%,15.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,18.0,WR
Quez Watkins (PIT),9.0,15.0,142,9.5,96,6.4,249,16.6,46.0,3.1,5.0,0.3,0.0,21.0,4.0%,15.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,19.0,WR
Jamison Crowder (WAS),17.0,16.0,159,9.9,79,4.9,122,7.6,80.0,5.0,21.0,1.3,2.0,20.0,3.3%,17.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,26.0,WR
Tyler Scott (CHI),17.0,17.0,168,9.9,98,5.8,370,21.8,70.0,4.1,15.0,0.9,1.0,32.0,6.7%,19.0,2.0,5.0,8.0,1.0,1.0,0.0,0.0,30.0,WR
Robbie Chosen (FA),9.0,4.0,126,31.5,95,23.8,141,35.3,31.0,7.8,0.0,0.0,0.0,6.0,1.1%,4.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,68.0,WR
Malik Heath (GB),13.0,15.0,125,8.3,90,6.0,210,14.0,35.0,2.3,14.0,0.9,1.0,24.0,4.3%,17.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,16.0,WR
River Cracraft (MIA),10.0,9.0,121,13.4,72,8.0,92,10.2,49.0,5.4,5.0,0.6,0.0,12.0,2.2%,10.0,1.0,4.0,7.0,2.0,0.0,0.0,0.0,24.0,WR
Deven Thompkins (FA),17.0,17.0,83,4.9,-1,-0.1,154,9.1,84.0,4.9,16.0,0.9,1.0,25.0,4.5%,17.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,26.0,WR
Ray-Ray McCloud III (ATL),12.0,12.0,135,11.3,48,4.0,94,7.8,87.0,7.3,2.0,0.2,0.0,15.0,3.2%,13.0,0.0,1.0,5.0,2.0,1.0,1.0,0.0,41.0,WR
John Metchie III (HOU),16.0,16.0,158,9.9,74,4.6,266,16.6,84.0,5.3,19.0,1.2,1.0,30.0,5.3%,19.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,22.0,WR
Kyle Philips (TEN),9.0,15.0,181,12.1,102,6.8,197,13.1,79.0,5.3,15.0,1.0,1.0,22.0,4.6%,16.0,1.0,1.0,9.0,4.0,0.0,0.0,0.0,29.0,WR
Donovan Peoples-Jones (DET),15.0,13.0,155,11.9,120,9.2,260,20.0,35.0,2.7,8.0,0.6,0.0,25.0,4.2%,13.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,29.0,WR
David Moore (CAR),7.0,5.0,94,18.8,32,6.4,49,9.8,62.0,12.4,51.0,10.2,0.0,7.0,1.3%,5.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,52.0,WR
Jalen Guyton (LV),8.0,10.0,89,8.9,57,5.7,218,21.8,32.0,3.2,11.0,1.1,1.0,21.0,3.4%,12.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,18.0,WR
Trent Sherfield Sr. (MIN),17.0,11.0,86,7.8,37,3.4,190,17.3,49.0,4.5,5.0,0.5,2.0,22.0,4.0%,12.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,WR
Tyquan Thornton (NE),9.0,13.0,91,7.0,41,3.2,230,17.7,50.0,3.8,14.0,1.1,0.0,23.0,4.3%,14.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,WR
Byron Pringle (FA),16.0,14.0,161,11.5,130,9.3,307,21.9,31.0,2.2,5.0,0.4,0.0,22.0,3.7%,14.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,26.0,WR
Xavier Hutchinson (HOU),15.0,8.0,90,11.3,70,8.8,216,27.0,20.0,2.5,0.0,0.0,0.0,19.0,3.4%,8.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,34.0,WR
Terrace Marshall Jr. (CAR),9.0,19.0,139,7.3,91,4.8,238,12.5,48.0,2.5,7.0,0.4,0.0,33.0,6.2%,21.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,14.0,WR
Chase Claypool (BUF),11.0,8.0,77,9.6,52,6.5,230,28.8,25.0,3.1,9.0,1.1,1.0,21.0,4.4%,9.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,WR
Charlie Jones (CIN),11.0,7.0,64,9.1,26,3.7,79,11.3,38.0,5.4,7.0,1.0,0.0,9.0,1.5%,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,35.0,WR
Ben Skowronek (HOU),17.0,8.0,66,8.3,36,4.5,88,11.0,30.0,3.8,8.0,1.0,0.0,12.0,2.2%,8.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,20.0,WR
Randall Cobb (FA),11.0,5.0,39,7.8,16,3.2,165,33.0,23.0,4.6,10.0,2.0,0.0,17.0,3.0%,7.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,15.0,WR
D.J. Montgomery (IND),7.0,3.0,56,18.7,28,9.3,97,32.3,28.0,9.3,5.0,1.7,0.0,8.0,1.5%,4.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,34.0,WR
Jason Brownlee (NYJ),7.0,5.0,56,11.2,36,7.2,62,12.4,20.0,4.0,11.0,2.2,1.0,8.0,1.4%,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,24.0,WR
Laviska Shenault Jr. (SEA),8.0,10.0,60,6.0,-25,-2.5,-25,-2.5,85.0,8.5,12.0,1.2,1.0,10.0,1.9%,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,WR
Lynn Bowden Jr. (FA),15.0,11.0,83,7.5,26,2.4,80,7.3,57.0,5.2,25.0,2.3,0.0,16.0,2.8%,12.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,WR
Mecole Hardman Jr. (KC),10.0,15.0,124,8.3,16,1.1,137,9.1,108.0,7.2,46.0,3.1,3.0,24.0,4.3%,19.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,37.0,WR
Parris Campbell (PHI),12.0,20.0,104,5.2,39,2.0,91,4.6,65.0,3.3,8.0,0.4,1.0,27.0,5.6%,21.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,17.0,WR
Sterling Shepard (TB),15.0,10.0,57,5.7,24,2.4,160,16.0,33.0,3.3,3.0,0.3,0.0,22.0,4.5%,13.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,13.0,WR
Marquise Goodwin (FA),12.0,4.0,67,16.8,46,11.5,391,97.8,21.0,5.3,5.0,1.3,0.0,13.0,2.2%,6.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,57.0,WR
Keith Kirkwood (BAL),13.0,5.0,37,7.4,36,7.2,91,18.2,1.0,0.2,0.0,0.0,0.0,9.0,1.6%,5.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,WR
Lawrence Cager (NYG),9.0,4.0,36,9.0,9,2.3,21,5.3,27.0,6.8,4.0,1.0,0.0,5.0,1.0%,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,WR
Richie James Jr. (FA),9.0,10.0,114,11.4,53,5.3,129,12.9,61.0,6.1,20.0,2.0,1.0,14.0,2.3%,12.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,45.0,WR
Tim Jones (JAC),17.0,11.0,83,7.5,52,4.7,152,13.8,31.0,2.8,16.0,1.5,0.0,18.0,3.0%,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,15.0,WR
Samori Toure (GB),11.0,8.0,78,9.8,60,7.5,316,39.5,18.0,2.3,1.0,0.1,0.0,18.0,3.2%,9.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,35.0,WR
Velus Jones Jr. (CHI),14.0,4.0,20,5.0,5,1.3,87,21.8,15.0,3.8,6.0,1.5,0.0,7.0,1.5%,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,WR
Chris Conley (SF),8.0,3.0,69,23.0,41,13.7,74,24.7,28.0,9.3,0.0,0.0,0.0,6.0,1.3%,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,48.0,WR
Jalen Brooks (DAL),7.0,6.0,64,10.7,36,6.0,36,6.0,28.0,4.7,6.0,1.0,0.0,6.0,1.0%,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,WR
Equanimeous St. Brown (NO),7.0,5.0,62,12.4,55,11.0,53,10.6,7.0,1.4,2.0,0.4,0.0,6.0,1.3%,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,21.0,WR
Rakim Jarrett (TB),10.0,4.0,60,15.0,33,8.3,142,35.5,27.0,6.8,0.0,0.0,0.0,9.0,1.6%,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,41.0,WR
DeAndre Carter (CHI),17.0,4.0,39,9.8,-11,-2.8,4,1.0,50.0,12.5,2.0,0.5,0.0,7.0,1.3%,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,WR
Isaiah McKenzie (NYG),13.0,11.0,82,7.5,10,0.9,35,3.2,72.0,6.5,19.0,1.7,0.0,14.0,2.6%,12.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,30.0,WR
Justyn Ross (KC),10.0,6.0,53,8.8,38,6.3,108,18.0,15.0,2.5,8.0,1.3,0.0,11.0,1.8%,8.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,20.0,WR
Britain Covey (PHI),16.0,4.0,42,10.5,16,4.0,52,13.0,26.0,6.5,8.0,2.0,1.0,6.0,1.1%,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22.0,WR
Elijah Cooks (JAC),9.0,3.0,38,12.7,30,10.0,33,11.0,8.0,2.7,1.0,0.3,0.0,4.0,0.7%,4.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,23.0,WR
Keelan Doss (FA),5.0,6.0,33,5.5,19,3.2,97,16.2,14.0,2.3,1.0,0.2,0.0,13.0,2.1%,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
Devin Duvernay (JAC),13.0,4.0,18,4.5,1,0.3,81,20.3,17.0,4.3,3.0,0.8,0.0,9.0,1.9%,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,WR
Jalen Nailor (MIN),6.0,3.0,29,9.7,8,2.7,54,18.0,21.0,7.0,3.0,1.0,0.0,6.0,1.0%,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,WR
Trishton Jackson (MIN),6.0,2.0,9,4.5,2,1.0,16,8.0,7.0,3.5,2.0,1.0,0.0,4.0,0.7%,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,WR
Steven Sims Jr. (HOU),3.0,3.0,25,8.3,-2,-0.7,-2,-0.7,27.0,9.0,1.0,0.3,0.0,3.0,0.5%,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,23.0,WR
Kayshon Boutte (NE),5.0,2.0,19,9.5,9,4.5,125,62.5,10.0,5.0,3.0,1.5,0.0,7.0,1.3%,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,WR
Zach Pascal (ARI),14.0,4.0,19,4.8,7,1.8,160,40.0,12.0,3.0,6.0,1.5,1.0,15.0,2.8%,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,WR
Miles Boykin (NYG),16.0,3.0,17,5.7,15,5.0,19,6.3,2.0,0.7,0.0,0.0,0.0,4.0,0.8%,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR
Marvin Jones Jr. (FA),6.0,5.0,35,7.0,26,5.2,80,16.0,9.0,1.8,3.0,0.6,0.0,10.0,1.7%,7.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,WR
Malik Taylor (NYJ),3.0,2.0,13,6.5,6,3.0,89,44.5,7.0,3.5,0.0,0.0,0.0,4.0,0.7%,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR
Austin Trammell (JAC),15.0,4.0,29,7.3,-6,-1.5,25,6.3,35.0,8.8,1.0,0.3,0.0,7.0,1.3%,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,WR
James Proche II (CLE),10.0,0.0,0,0.0,0,0.0,86,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR
,,,,,,,,,,,,,,,,,,,,,,,,,WR
,,,,,,,,,,,,,,,,,,,,,,,,,WR
Sam LaPorta (DET),17.0,86.0,889,10.3,531.0,6.2,851,9.9,358.0,4.2,115.0,1.3,9.0,120.0,20.9%,91.0,5.0,15.0,35.0,8.0,5.0,2.0,0.0,48.0,TE
George Kittle (SF),16.0,65.0,"1,020",15.7,537.0,8.3,852,13.1,483.0,7.4,150.0,2.3,4.0,90.0,19.1%,71.0,4.0,12.0,40.0,18.0,8.0,3.0,2.0,66.0,TE
Travis Kelce (KC),15.0,93.0,984,10.6,515.0,5.5,808,8.7,469.0,5.0,86.0,0.9,4.0,121.0,20.2%,101.0,7.0,19.0,39.0,12.0,2.0,2.0,1.0,53.0,TE
T.J. Hockenson (MIN),15.0,95.0,960,10.1,624.0,6.6,976,10.3,336.0,3.5,104.0,1.1,4.0,127.0,21.0%,99.0,4.0,10.0,40.0,13.0,0.0,0.0,0.0,29.0,TE
David Njoku (CLE),16.0,81.0,882,10.9,283.0,3.5,551,6.8,599.0,7.4,202.0,2.5,9.0,123.0,20.6%,93.0,11.0,17.0,29.0,12.0,7.0,2.0,0.0,43.0,TE
Evan Engram (JAC),17.0,114.0,963,8.4,455.0,4.0,716,6.3,508.0,4.5,150.0,1.3,5.0,143.0,23.6%,122.0,7.0,9.0,40.0,9.0,1.0,0.0,0.0,34.0,TE
Taysom Hill (NO),16.0,33.0,291,8.8,158.0,4.8,209,6.3,133.0,4.0,42.0,1.3,3.0,40.0,6.9%,35.0,1.0,4.0,10.0,2.0,1.0,0.0,0.0,36.0,TE
Cole Kmet (CHI),17.0,73.0,719,9.8,429.0,5.9,548,7.5,290.0,4.0,101.0,1.4,4.0,90.0,18.9%,75.0,1.0,15.0,25.0,9.0,2.0,2.0,1.0,53.0,TE
Jake Ferguson (DAL),17.0,71.0,761,10.7,336.0,4.7,520,7.3,425.0,6.0,144.0,2.0,6.0,102.0,16.9%,77.0,5.0,23.0,36.0,8.0,3.0,1.0,0.0,40.0,TE
Trey McBride (ARI),17.0,81.0,825,10.2,386.0,4.8,633,7.8,439.0,5.4,114.0,1.4,10.0,106.0,19.6%,84.0,3.0,11.0,35.0,9.0,2.0,0.0,0.0,38.0,TE
Dalton Schultz (HOU),15.0,59.0,635,10.8,372.0,6.3,657,11.1,263.0,4.5,100.0,1.7,8.0,88.0,15.5%,62.0,3.0,13.0,26.0,7.0,1.0,0.0,0.0,31.0,TE
Mark Andrews (BAL),10.0,45.0,544,12.1,328.0,7.3,444,9.9,216.0,4.8,50.0,1.1,4.0,61.0,12.8%,50.0,3.0,14.0,23.0,8.0,3.0,0.0,0.0,38.0,TE
Kyle Pitts (ATL),17.0,53.0,667,12.6,533.0,10.1,"1,029",19.4,134.0,2.5,30.0,0.6,0.0,90.0,17.7%,57.0,4.0,5.0,32.0,7.0,3.0,0.0,0.0,39.0,TE
Hunter Henry (NE),14.0,42.0,419,10.0,341.0,8.1,523,12.5,78.0,1.9,33.0,0.8,2.0,61.0,11.3%,45.0,3.0,6.0,16.0,2.0,0.0,0.0,0.0,24.0,TE
Dallas Goedert (PHI),14.0,59.0,592,10.0,273.0,4.6,450,7.6,319.0,5.4,93.0,1.6,2.0,83.0,15.8%,61.0,2.0,10.0,24.0,6.0,1.0,1.0,0.0,49.0,TE
Dalton Kincaid (BUF),16.0,73.0,673,9.2,362.0,5.0,542,7.4,311.0,4.3,63.0,0.9,3.0,91.0,16.7%,78.0,4.0,9.0,23.0,5.0,1.0,1.0,1.0,51.0,TE
Jonnu Smith (MIA),17.0,50.0,582,11.6,225.0,4.5,459,9.2,357.0,7.1,118.0,2.4,6.0,70.0,13.8%,54.0,4.0,9.0,25.0,4.0,3.0,2.0,2.0,60.0,TE
Logan Thomas (SF),16.0,55.0,496,9.0,267.0,4.9,477,8.7,229.0,4.2,58.0,1.1,1.0,78.0,13.0%,57.0,2.0,9.0,17.0,3.0,0.0,0.0,0.0,29.0,TE
Isaiah Likely (BAL),17.0,30.0,411,13.7,195.0,6.5,249,8.3,216.0,7.2,94.0,3.1,5.0,40.0,8.4%,33.0,3.0,7.0,16.0,6.0,3.0,1.0,1.0,54.0,TE
Cade Otton (TB),17.0,47.0,455,9.7,235.0,5.0,452,9.6,220.0,4.7,54.0,1.1,4.0,67.0,12.2%,50.0,3.0,10.0,15.0,6.0,0.0,0.0,0.0,27.0,TE
Tyler Conklin (NYJ),17.0,61.0,621,10.2,375.0,6.1,595,9.8,246.0,4.0,71.0,1.2,2.0,87.0,15.5%,63.0,2.0,9.0,21.0,7.0,2.0,0.0,0.0,37.0,TE
Tyler Higbee (LAR),15.0,47.0,495,10.5,249.0,5.3,406,8.6,246.0,5.2,49.0,1.0,2.0,70.0,12.6%,55.0,7.0,5.0,20.0,6.0,2.0,0.0,0.0,33.0,TE
Darren Waller (FA),12.0,52.0,552,10.6,341.0,6.6,592,11.4,211.0,4.1,44.0,0.8,0.0,74.0,15.3%,55.0,3.0,4.0,21.0,8.0,0.0,0.0,0.0,29.0,TE
Juwan Johnson (NO),13.0,37.0,368,9.9,223.0,6.0,437,11.8,145.0,3.9,36.0,1.0,3.0,59.0,10.2%,40.0,3.0,7.0,14.0,7.0,1.0,0.0,0.0,32.0,TE
Gerald Everett (CHI),15.0,51.0,411,8.1,136.0,2.7,282,5.5,275.0,5.4,106.0,2.1,9.0,70.0,11.4%,53.0,2.0,10.0,16.0,4.0,1.0,0.0,0.0,31.0,TE
Chigoziem Okonkwo (TEN),17.0,54.0,528,9.8,266.0,4.9,527,9.8,262.0,4.9,69.0,1.3,5.0,77.0,16.1%,61.0,6.0,6.0,25.0,6.0,1.0,0.0,0.0,39.0,TE
Donald Parham Jr. (LAC),14.0,27.0,285,10.6,159.0,5.9,306,11.3,126.0,4.7,67.0,2.5,1.0,41.0,6.7%,30.0,3.0,10.0,15.0,2.0,0.0,0.0,0.0,24.0,TE
Tucker Kraft (GB),17.0,31.0,355,11.5,123.0,4.0,156,5.0,232.0,7.5,95.0,3.1,4.0,40.0,7.1%,31.0,0.0,7.0,10.0,5.0,2.0,1.0,0.0,43.0,TE
Pat Freiermuth (PIT),12.0,32.0,308,9.6,163.0,5.1,311,9.7,145.0,4.5,69.0,2.2,2.0,47.0,9.7%,33.0,0.0,6.0,11.0,3.0,0.0,0.0,0.0,29.0,TE
Michael Mayer (LV),14.0,27.0,304,11.3,140.0,5.2,219,8.1,164.0,6.1,57.0,2.1,3.0,40.0,7.5%,28.0,1.0,7.0,15.0,2.0,1.0,0.0,0.0,32.0,TE
Kylen Granson (IND),15.0,30.0,368,12.3,240.0,8.0,402,13.4,128.0,4.3,23.0,0.8,0.0,50.0,9.2%,33.0,3.0,5.0,14.0,5.0,2.0,2.0,0.0,46.0,TE
Noah Gray (KC),17.0,28.0,305,10.9,172.0,6.1,277,9.9,133.0,4.8,54.0,1.9,4.0,41.0,6.8%,30.0,1.0,3.0,12.0,4.0,2.0,0.0,0.0,34.0,TE
Noah Fant (SEA),17.0,32.0,414,12.9,237.0,7.4,298,9.3,177.0,5.5,42.0,1.3,1.0,43.0,7.9%,33.0,1.0,2.0,15.0,7.0,2.0,1.0,1.0,51.0,TE
Tanner Hudson (CIN),12.0,39.0,352,9.0,204.0,5.2,269,6.9,148.0,3.8,37.0,0.9,2.0,50.0,8.4%,40.0,1.0,3.0,15.0,3.0,0.0,0.0,0.0,26.0,TE
Luke Musgrave (GB),11.0,34.0,352,10.4,183.0,5.4,344,10.1,169.0,5.0,24.0,0.7,0.0,46.0,8.2%,37.0,3.0,5.0,12.0,5.0,2.0,0.0,0.0,37.0,TE
Adam Trautman (DEN),17.0,22.0,204,9.3,106.0,4.8,226,10.3,98.0,4.5,21.0,1.0,2.0,35.0,7.3%,22.0,0.0,13.0,7.0,2.0,0.0,0.0,0.0,24.0,TE
Tommy Tremble (CAR),16.0,23.0,194,8.4,99.0,4.3,204,8.9,95.0,4.1,40.0,1.7,3.0,32.0,6.0%,23.0,0.0,4.0,8.0,2.0,1.0,0.0,0.0,30.0,TE
Colby Parkinson (LAR),17.0,25.0,247,9.9,161.0,6.4,222,8.9,86.0,3.4,11.0,0.4,1.0,34.0,6.2%,27.0,2.0,8.0,8.0,5.0,0.0,0.0,0.0,27.0,TE
Durham Smythe (MIA),16.0,35.0,366,10.5,227.0,6.5,284,8.1,139.0,4.0,27.0,0.8,0.0,43.0,7.8%,37.0,1.0,4.0,16.0,3.0,0.0,0.0,0.0,22.0,TE
Mike Gesicki (CIN),17.0,29.0,244,8.4,148.0,5.1,375,12.9,96.0,3.3,8.0,0.3,0.0,45.0,8.3%,29.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,18.0,TE
Mo Alie-Cox (IND),17.0,13.0,161,12.4,81.0,6.2,222,17.1,80.0,6.2,24.0,1.8,1.0,22.0,4.0%,14.0,1.0,3.0,8.0,2.0,2.0,0.0,0.0,35.0,TE
Brevin Jordan (HOU),13.0,17.0,219,12.9,95.0,5.6,115,6.8,124.0,7.3,19.0,1.1,1.0,21.0,3.7%,18.0,1.0,2.0,10.0,3.0,0.0,0.0,0.0,27.0,TE
Dawson Knox (BUF),12.0,22.0,186,8.5,90.0,4.1,253,11.5,96.0,4.4,22.0,1.0,1.0,36.0,6.6%,26.0,4.0,8.0,11.0,0.0,0.0,0.0,0.0,17.0,TE
Josh Oliver (MIN),17.0,22.0,213,9.7,51.0,2.3,72,3.3,162.0,7.4,36.0,1.6,1.0,28.0,4.6%,22.0,0.0,5.0,11.0,3.0,1.0,0.0,0.0,33.0,TE
Drew Sample (CIN),17.0,22.0,163,7.4,-10.0,-0.5,29,1.3,173.0,7.9,29.0,1.3,1.0,27.0,4.6%,23.0,1.0,3.0,7.0,1.0,0.0,0.0,0.0,22.0,TE
Jimmy Graham (FA),13.0,6.0,39,6.5,36.0,6.0,42,7.0,3.0,0.5,1.0,0.2,0.0,7.0,1.2%,7.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,12.0,TE
Andrew Beck (HOU),15.0,11.0,55,5.0,18.0,1.6,22,2.0,37.0,3.4,7.0,0.6,1.0,13.0,2.3%,11.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,26.0,TE
Drew Ogletree (IND),12.0,9.0,147,16.3,117.0,13.0,209,23.2,30.0,3.3,12.0,1.3,1.0,21.0,3.8%,10.0,1.0,2.0,7.0,4.0,1.0,0.0,0.0,33.0,TE
Daniel Bellinger (NYG),17.0,25.0,255,10.2,121.0,4.8,130,5.2,134.0,5.4,57.0,2.3,2.0,28.0,5.8%,26.0,1.0,0.0,7.0,4.0,0.0,0.0,0.0,26.0,TE
Foster Moreau (NO),15.0,21.0,193,9.2,97.0,4.6,122,5.8,96.0,4.6,19.0,0.9,0.0,25.0,4.3%,22.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,23.0,TE
Harrison Bryant (LV),17.0,13.0,81,6.2,46.0,3.5,81,6.2,35.0,2.7,11.0,0.8,1.0,20.0,3.4%,15.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,23.0,TE
Pharaoh Brown (SEA),17.0,13.0,208,16.0,87.0,6.7,104,8.0,121.0,9.3,45.0,3.5,2.0,15.0,2.8%,13.0,0.0,0.0,7.0,5.0,1.0,1.0,1.0,58.0,TE
Zach Ertz (WAS),7.0,27.0,187,6.9,141.0,5.2,332,12.3,46.0,1.7,4.0,0.1,0.0,43.0,8.0%,29.0,2.0,7.0,7.0,0.0,0.0,0.0,0.0,17.0,TE
Hayden Hurst (LAC),10.0,18.0,184,10.2,117.0,6.5,242,13.4,67.0,3.7,13.0,0.7,1.0,32.0,6.0%,20.0,2.0,3.0,5.0,1.0,1.0,1.0,0.0,48.0,TE
Austin Hooper (NE),17.0,25.0,234,9.4,92.0,3.7,130,5.2,142.0,5.7,47.0,1.9,2.0,31.0,5.8%,26.0,1.0,3.0,10.0,2.0,0.0,0.0,0.0,21.0,TE
Will Dissly (LAC),16.0,17.0,172,10.1,52.0,3.1,62,3.6,120.0,7.1,42.0,2.5,2.0,22.0,4.0%,18.0,1.0,2.0,7.0,2.0,0.0,0.0,0.0,21.0,TE
Johnny Mundt (MIN),17.0,17.0,172,10.1,78.0,4.6,114,6.7,94.0,5.5,19.0,1.1,1.0,23.0,3.8%,18.0,0.0,4.0,7.0,2.0,1.0,0.0,0.0,32.0,TE
Elijah Higgins (ARI),11.0,14.0,163,11.6,96.0,6.9,128,9.1,67.0,4.8,17.0,1.2,0.0,19.0,3.5%,15.0,2.0,2.0,7.0,3.0,0.0,0.0,0.0,26.0,TE
Stone Smartt (LAC),16.0,11.0,155,14.1,99.0,9.0,180,16.4,56.0,5.1,40.0,3.6,1.0,21.0,3.4%,12.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,51.0,TE
Will Mallory (IND),12.0,18.0,207,11.5,118.0,6.6,203,11.3,89.0,4.9,23.0,1.3,0.0,26.0,4.8%,18.0,0.0,1.0,9.0,1.0,1.0,1.0,0.0,43.0,TE
Luke Schoonmaker (DAL),17.0,8.0,65,8.1,38.0,4.8,81,10.1,27.0,3.4,13.0,1.6,1.0,15.0,2.5%,11.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,18.0,TE
MyCole Pruitt (PIT),17.0,9.0,110,12.2,59.0,6.6,62,6.9,51.0,5.7,19.0,2.1,1.0,12.0,2.4%,9.0,0.0,3.0,6.0,2.0,0.0,0.0,0.0,22.0,TE
Connor Heyward (PIT),17.0,23.0,167,7.3,73.0,3.2,175,7.6,94.0,4.1,19.0,0.8,1.0,34.0,7.0%,25.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,13.0,TE
Lucas Krull (DEN),7.0,8.0,95,11.9,45.0,5.6,133,16.6,50.0,6.3,9.0,1.1,0.0,14.0,2.9%,8.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,35.0,TE
